Age,AnnualIncome,AverageTransactionValue,DiscountSensitivity,ShoppingFrequency
27,74068,50,High,Frequent
24,33852,50,High,Rare
32,28042,50,High,Occasional
41,47399,1467,Medium,Occasional
26,74639,1709,High,Occasional
24,56061,50,Medium,Occasional
22,50708,2095,Medium,Frequent
34,60887,717,High,Frequent
45,25085,1347,Low,Frequent
57,69894,2812,High,Occasional
31,67668,2097,Medium,Rare
38,51813,931,Medium,Frequent
43,80118,309,High,Frequent
43,37450,50,Medium,Frequent
34,82558,481,High,Occasional
35,63089,989,High,Frequent
44,53268,213,High,Frequent
34,59602,1069,Medium,Rare
43,57854,1277,High,Frequent
44,84405,975,Medium,Frequent
51,38466,550,Medium,Occasional
28,44749,1369,Medium,Occasional
34,80726,1642,High,Occasional
33,48089,110,High,Frequent
25,78010,2611,Medium,Frequent
43,93988,1101,High,Frequent
42,51964,1219,High,Frequent
34,73627,1908,Medium,Frequent
40,36926,1433,Medium,Rare
30,75094,2153,High,Occasional
38,63988,1487,Medium,Frequent
21,69460,588,High,Occasional
51,47088,1562,High,Frequent
25,26778,56,High,Frequent
29,70065,1309,High,Frequent
41,18731,1167,Medium,Occasional
19,53652,992,High,Occasional
53,78823,1071,High,Frequent
18,63837,50,Medium,Occasional
42,98966,651,Medium,Rare
35,80502,1293,Medium,Rare
34,46922,1360,High,Occasional
28,60546,172,Medium,Occasional
29,59052,2466,High,Frequent
41,28356,334,Medium,Occasional
36,41192,2169,High,Occasional
38,48784,1627,Medium,Occasional
46,19275,554,Medium,Frequent
34,60949,2975,High,Occasional
45,55018,50,Medium,Frequent
48,26542,2119,Medium,Occasional
32,68084,2201,High,Occasional
44,74317,529,High,Occasional
32,64540,2592,High,Occasional
44,53518,950,Medium,Rare
45,71828,1489,Medium,Occasional
25,73604,1460,Medium,Frequent
46,66148,1066,Low,Frequent
51,43507,2011,Medium,Occasional
49,65532,1993,Medium,Frequent
32,83909,50,Low,Frequent
18,48067,2504,Medium,Frequent
30,101958,50,High,Frequent
21,49487,2233,Medium,Frequent
23,60648,2327,Medium,Frequent
26,46550,109,Medium,Frequent
27,64465,789,High,Frequent
35,25155,94,Low,Frequent
24,49079,985,High,Frequent
44,38157,892,Medium,Frequent
33,62706,1980,High,Occasional
41,79888,2510,High,Rare
52,72920,2596,Medium,Occasional
47,12566,638,High,Frequent
34,100841,991,Medium,Frequent
38,65905,50,High,Occasional
35,44470,394,High,Occasional
32,63142,2165,Medium,Rare
37,63523,2816,Medium,Frequent
32,46663,50,Medium,Frequent
25,63958,608,Medium,Frequent
30,47850,1174,Low,Frequent
40,51912,1480,High,Frequent
43,46274,390,Medium,Occasional
44,31346,1624,Medium,Occasional
24,62916,726,High,Occasional
34,71705,1186,Medium,Rare
53,70297,1746,Medium,Occasional
18,76398,1206,High,Frequent
45,66486,764,Medium,Frequent
33,49345,1090,High,Frequent
21,76793,1112,Medium,Frequent
33,32849,830,Medium,Occasional
24,41986,941,Medium,Frequent
25,40715,2799,High,Frequent
51,81601,1761,Medium,Occasional
52,78855,905,Medium,Occasional
21,69746,1897,Medium,Frequent
48,81438,866,High,Occasional
26,42414,2373,Medium,Frequent
38,66971,1570,Medium,Frequent
31,57496,1093,High,Frequent
44,76937,1648,Low,Frequent
39,57695,50,Medium,Frequent
17,52301,73,High,Frequent
54,70818,50,High,Frequent
56,77523,1343,High,Frequent
44,46633,2933,Medium,Frequent
31,58778,3431,High,Frequent
32,38831,1838,Medium,Occasional
49,10038,1701,Medium,Frequent
40,64009,50,High,Occasional
44,72178,657,Low,Frequent
54,65241,412,High,Frequent
49,21008,579,Low,Rare
47,52983,1032,Medium,Rare
35,15633,728,High,Frequent
31,87394,50,Medium,Frequent
39,38278,1948,High,Occasional
63,85108,127,High,Occasional
44,78917,1439,High,Frequent
42,41988,3274,Medium,Frequent
62,37344,281,High,Rare
35,67007,50,High,Frequent
38,43113,914,Medium,Occasional
45,62049,2301,High,Occasional
33,50343,3158,High,Occasional
25,24376,50,High,Occasional
34,15390,1697,High,Frequent
28,64533,735,High,Frequent
37,48768,1094,Medium,Frequent
46,48938,3844,High,Frequent
35,73917,50,Medium,Frequent
45,83468,1454,Medium,Rare
46,54549,1668,Medium,Frequent
30,53188,2286,Low,Occasional
26,70002,1298,Medium,Frequent
29,32861,1508,High,Occasional
51,64463,808,High,Occasional
33,71037,1469,High,Frequent
38,73604,857,High,Rare
53,21264,1822,High,Rare
36,44772,830,High,Occasional
38,42434,1577,High,Occasional
52,61997,1171,High,Occasional
48,69614,2326,Medium,Frequent
44,89934,1149,Medium,Frequent
33,50100,50,High,Rare
26,50048,2462,High,Rare
36,82993,294,High,Occasional
32,65931,546,Medium,Occasional
45,85353,604,Medium,Occasional
40,65774,2574,High,Frequent
45,36857,50,Medium,Rare
32,33337,4338,High,Occasional
37,28969,2256,High,Frequent
45,73241,1423,High,Frequent
46,83771,1145,Medium,Occasional
34,96987,1486,Low,Occasional
34,76862,1721,High,Frequent
61,83256,1845,High,Occasional
48,48399,1756,Low,Occasional
39,36871,1290,High,Occasional
45,77001,1003,Medium,Frequent
36,68353,1049,Medium,Frequent
29,62148,1005,Medium,Frequent
24,67747,2334,High,Occasional
32,66463,1794,High,Occasional
21,85676,50,Medium,Occasional
32,85899,1856,High,Occasional
35,70884,1395,High,Occasional
48,76916,1181,Low,Rare
36,70281,811,Medium,Occasional
36,50776,2324,Medium,Occasional
33,75131,2148,Medium,Frequent
52,32110,427,High,Occasional
53,81077,1607,High,Occasional
54,36109,228,High,Occasional
40,65716,50,High,Occasional
40,43096,573,High,Frequent
33,71067,2062,High,Occasional
56,59321,2153,High,Frequent
43,28104,1713,Medium,Frequent
30,68413,1925,Medium,Occasional
45,48441,1716,High,Occasional
31,77622,559,Low,Occasional
27,60026,1632,High,Occasional
37,67908,2000,Medium,Occasional
42,40848,1954,Medium,Occasional
29,48213,2389,Medium,Frequent
50,50827,1908,Medium,Frequent
44,77134,1551,Low,Occasional
48,93547,2270,High,Occasional
26,43896,1173,High,Occasional
27,81536,318,High,Frequent
30,16606,1037,High,Frequent
35,36116,455,Medium,Frequent
30,40824,525,Medium,Occasional
43,32949,1055,Medium,Frequent
52,28328,408,High,Frequent
29,68259,892,Medium,Occasional
53,55718,50,High,Frequent
39,67588,1413,Medium,Frequent
53,73809,1201,High,Occasional
50,65312,383,High,Occasional
49,73155,1859,Medium,Occasional
47,58609,2138,Medium,Occasional
28,36260,50,High,Frequent
34,81156,437,High,Occasional
40,48217,431,High,Frequent
29,41288,260,Medium,Occasional
25,56441,2029,High,Occasional
28,41743,1006,High,Frequent
35,51651,935,Medium,Rare
41,66881,50,High,Frequent
41,66966,1835,High,Frequent
49,42043,50,High,Occasional
55,50245,1260,High,Occasional
49,81486,1477,Medium,Frequent
26,69928,2561,High,Occasional
37,101501,50,Low,Occasional
27,83602,50,Medium,Occasional
19,82885,1384,Medium,Frequent
48,32242,3001,High,Frequent
20,75277,2439,Medium,Frequent
28,58937,1410,High,Occasional
49,48980,708,High,Occasional
30,63360,2007,Medium,Frequent
33,78904,226,High,Frequent
35,70016,1676,High,Occasional
45,42430,1705,Medium,Frequent
24,74849,2260,Medium,Occasional
36,47248,3960,High,Occasional
50,64333,1592,High,Occasional
39,53932,691,Medium,Occasional
44,55622,1174,Medium,Occasional
39,75324,50,High,Frequent
23,39196,505,High,Frequent
40,98903,791,High,Occasional
40,23578,676,Medium,Frequent
42,48046,1352,Medium,Rare
37,67404,378,Medium,Occasional
46,71686,2321,High,Frequent
21,57990,1200,High,Rare
25,58852,1191,Medium,Occasional
29,68211,872,High,Frequent
30,55378,1355,Low,Occasional
63,87863,2025,High,Occasional
36,76786,333,Medium,Frequent
23,77456,542,High,Frequent
45,40676,896,Medium,Occasional
45,58412,50,High,Frequent
16,53990,381,Medium,Frequent
34,39887,724,Medium,Occasional
32,67203,2074,Low,Frequent
32,49247,1463,High,Occasional
56,73108,1394,High,Occasional
61,38596,2051,High,Frequent
29,94380,1063,Medium,Frequent
48,42073,1590,High,Rare
49,64386,1097,High,Frequent
41,75837,1465,Medium,Occasional
32,48587,617,Medium,Occasional
40,77049,50,Medium,Frequent
43,35416,1066,High,Frequent
45,89042,2623,Medium,Frequent
39,60282,2126,High,Rare
23,48071,2165,High,Occasional
47,54016,2436,Medium,Frequent
38,76178,1289,Medium,Frequent
33,48310,1397,Medium,Frequent
28,45012,582,Low,Occasional
37,55569,884,Low,Frequent
44,36460,1816,Medium,Frequent
29,96410,2404,Low,Occasional
29,48672,1061,Medium,Rare
26,76632,750,High,Frequent
18,64189,1201,Medium,Frequent
29,40309,1801,High,Frequent
44,59880,50,Low,Rare
33,75680,50,Medium,Rare
25,56234,649,High,Occasional
25,83862,50,High,Occasional
48,80430,692,High,Frequent
31,78378,1052,High,Occasional
23,50806,747,High,Frequent
42,38403,2652,High,Frequent
31,47728,1527,High,Frequent
42,63924,1500,Medium,Frequent
31,70915,1822,High,Frequent
34,16568,61,Low,Frequent
30,59837,2239,Medium,Frequent
30,63161,1124,Medium,Occasional
46,54449,1870,Low,Rare
50,85825,128,High,Occasional
50,68435,50,Medium,Frequent
29,86203,2018,Medium,Occasional
35,55680,1576,Medium,Frequent
29,78749,298,High,Frequent
49,92701,330,Low,Occasional
46,86233,2325,High,Frequent
29,38157,50,High,Occasional
42,54926,2843,Low,Frequent
37,53096,299,Medium,Frequent
34,69785,1838,Medium,Frequent
35,73727,871,Low,Frequent
29,43222,1803,High,Frequent
51,61356,656,High,Frequent
23,19601,1037,High,Frequent
19,88838,1241,High,Occasional
45,49752,198,Medium,Frequent
35,61117,1941,Medium,Frequent
31,53807,687,High,Occasional
41,82920,971,High,Occasional
37,5000,206,High,Frequent
44,59667,50,Medium,Frequent
40,57883,1009,Medium,Frequent
50,50927,3613,High,Occasional
33,94524,1985,High,Frequent
45,42253,1181,High,Occasional
32,75435,937,Medium,Rare
30,67125,1222,Low,Rare
31,85230,1747,Medium,Frequent
46,46656,50,High,Frequent
40,45340,2314,Medium,Occasional
37,81921,1915,Medium,Occasional
18,68506,1918,High,Frequent
27,29101,1638,High,Frequent
40,49213,1220,Medium,Occasional
47,67727,1873,Low,Frequent
32,76755,1792,High,Occasional
59,46415,846,High,Frequent
27,5000,626,Medium,Occasional
25,70464,1302,High,Frequent
43,35593,2749,High,Occasional
35,19653,50,Medium,Occasional
29,5000,50,High,Occasional
22,76279,1365,High,Frequent
19,62572,1251,Medium,Rare
46,55486,1373,Medium,Occasional
28,87780,1444,High,Frequent
41,72746,977,High,Frequent
33,92326,2690,High,Occasional
31,32145,50,High,Occasional
28,59308,372,High,Frequent
28,27665,1097,High,Frequent
32,55412,50,Medium,Occasional
39,55027,1024,Medium,Frequent
16,72532,2861,High,Frequent
38,60911,1221,High,Occasional
34,72468,1431,High,Occasional
35,74068,50,High,Frequent
38,103098,584,Medium,Frequent
50,53694,825,High,Occasional
32,41179,882,Low,Frequent
32,64921,2482,High,Occasional
43,43954,1758,High,Frequent
42,89639,89,High,Occasional
47,54335,1447,High,Frequent
40,48688,1698,High,Occasional
52,50573,2340,Medium,Frequent
24,74368,2781,Medium,Frequent
30,56845,185,High,Occasional
31,47166,389,High,Occasional
39,93307,50,High,Frequent
50,42876,966,High,Occasional
39,60711,1666,High,Occasional
42,73046,2187,Medium,Frequent
59,27373,1124,High,Frequent
23,69605,880,High,Frequent
45,38897,1352,Medium,Frequent
31,76455,365,Medium,Frequent
46,40746,3290,Medium,Occasional
29,73855,50,Medium,Occasional
43,82116,1385,Medium,Occasional
47,77228,3224,Medium,Occasional
43,65026,1207,Medium,Frequent
31,55373,1010,Medium,Frequent
44,48471,843,High,Occasional
44,89420,1020,High,Frequent
36,46010,2573,High,Occasional
22,39258,50,High,Frequent
30,73307,2733,Medium,Occasional
40,44077,50,High,Occasional
37,40998,933,High,Occasional
36,31127,771,Medium,Frequent
19,50341,1789,High,Occasional
54,58345,50,High,Frequent
34,64861,1662,High,Frequent
42,79026,3224,Medium,Frequent
49,70537,50,Medium,Rare
39,56182,1390,High,Occasional
46,56036,538,High,Occasional
28,70203,1626,High,Frequent
54,85451,1219,High,Frequent
27,62526,559,Medium,Frequent
38,50617,1688,Medium,Occasional
29,40142,3004,Medium,Rare
38,31095,1009,High,Occasional
40,73325,1920,Medium,Frequent
27,71559,50,Medium,Frequent
53,71547,244,High,Frequent
48,57426,1672,High,Frequent
34,88138,2684,Medium,Rare
47,50317,1556,Medium,Rare
26,79105,887,Medium,Frequent
40,59225,1199,High,Occasional
24,47832,50,High,Frequent
28,71850,1805,High,Occasional
44,68192,2082,Medium,Occasional
36,67139,748,Medium,Frequent
35,61625,730,Medium,Occasional
41,59242,1466,Medium,Occasional
33,107767,763,Medium,Frequent
44,83685,1134,Medium,Rare
22,74456,3300,High,Frequent
34,62235,953,Low,Rare
43,80143,842,Medium,Frequent
35,70359,552,High,Frequent
27,60524,1944,Medium,Frequent
52,53928,1019,High,Occasional
39,58381,551,High,Occasional
38,5000,2521,High,Frequent
24,64212,2620,Medium,Frequent
27,50230,600,Medium,Frequent
36,91853,50,Medium,Occasional
26,60386,2208,High,Occasional
28,36220,515,Medium,Frequent
39,59002,1991,Low,Frequent
32,39077,50,Low,Occasional
30,69468,2093,High,Occasional
41,65818,50,Low,Rare
27,79156,1931,High,Frequent
53,44182,1214,High,Rare
51,60680,246,Medium,Frequent
29,32699,793,High,Frequent
25,74029,1886,High,Frequent
35,70377,1306,Medium,Frequent
36,69916,1784,High,Frequent
40,60032,3176,High,Rare
33,68295,50,High,Frequent
19,92086,2817,Medium,Frequent
35,54298,1304,Low,Occasional
33,62772,301,High,Occasional
35,38277,50,Medium,Frequent
38,42634,1011,High,Occasional
28,61956,2122,Medium,Frequent
44,82078,1072,High,Occasional
29,54874,2711,High,Frequent
30,55281,50,Medium,Occasional
30,51862,1188,Medium,Occasional
25,49304,50,Medium,Occasional
29,65899,1564,Medium,Frequent
40,30054,2087,Medium,Occasional
29,85618,779,Medium,Occasional
52,46691,50,High,Rare
39,74438,1399,High,Occasional
31,34600,1637,Medium,Rare
45,73376,1604,Medium,Occasional
51,73438,2436,High,Occasional
24,67684,129,Medium,Occasional
60,40111,1880,High,Frequent
25,64990,2393,Medium,Occasional
36,36338,50,Medium,Occasional
41,54944,1520,Medium,Frequent
39,80588,696,High,Occasional
26,75934,1118,Low,Rare
41,60303,1548,Medium,Frequent
39,40503,713,Medium,Rare
33,72911,524,High,Frequent
17,60387,1234,Medium,Rare
27,13593,113,High,Frequent
45,75652,114,High,Frequent
48,59515,1879,Medium,Frequent
31,84049,51,Low,Frequent
42,38094,1866,High,Frequent
32,5000,1663,High,Occasional
41,65581,50,Medium,Occasional
41,65831,522,High,Occasional
39,26186,2394,High,Frequent
38,40430,219,High,Occasional
37,115104,736,Medium,Occasional
30,53887,1662,High,Frequent
41,74619,1983,Low,Occasional
35,46986,948,High,Frequent
48,18193,602,High,Occasional
48,56594,2622,High,Occasional
29,54687,2939,Medium,Occasional
36,52002,2179,Medium,Occasional
32,57707,1285,High,Frequent
37,65285,392,Medium,Frequent
41,56997,370,High,Frequent
30,34719,1723,High,Occasional
38,69723,1618,Medium,Frequent
27,21012,2602,Low,Rare
27,18992,1850,Low,Occasional
52,74783,50,High,Frequent
38,70140,2252,High,Occasional
25,58852,202,Medium,Frequent
52,32091,816,High,Frequent
19,45841,1450,High,Frequent
40,54745,3196,Medium,Occasional
23,28082,4310,Medium,Frequent
39,45219,1807,Low,Frequent
37,73046,1017,Low,Occasional
23,88546,1735,Medium,Frequent
51,51611,2088,High,Occasional
41,75129,879,High,Frequent
23,21718,2995,High,Occasional
30,73189,1430,Medium,Frequent
34,43921,1698,Medium,Frequent
43,66146,1866,Medium,Rare
35,55044,1622,Medium,Frequent
33,86408,2039,High,Occasional
29,42511,583,High,Occasional
41,72552,642,Low,Occasional
33,54409,100,Medium,Frequent
38,56833,1640,High,Rare
42,56322,1979,High,Frequent
22,43086,1658,Medium,Occasional
45,59718,2874,High,Rare
37,58747,1194,Medium,Frequent
30,64824,1869,High,Occasional
37,61690,108,High,Frequent
45,75959,813,Medium,Occasional
34,78470,1896,Medium,Rare
32,38987,2049,Medium,Rare
37,77375,906,Medium,Frequent
43,36273,1128,High,Frequent
38,71757,50,Medium,Occasional
32,72394,843,High,Frequent
33,21773,2090,High,Occasional
41,61859,1775,Medium,Rare
29,50630,1701,High,Occasional
31,44824,1250,High,Frequent
28,87017,1207,High,Occasional
43,46926,540,Medium,Rare
28,43872,1899,High,Frequent
25,61513,1621,Low,Frequent
28,73711,1692,Medium,Rare
27,57167,674,High,Frequent
53,83327,50,Medium,Frequent
27,70619,2297,High,Occasional
42,16435,721,Low,Frequent
27,49410,337,Medium,Occasional
26,48763,1893,Medium,Rare
53,69587,808,High,Occasional
27,7503,2260,High,Occasional
31,110980,1817,High,Occasional
39,70620,1884,Medium,Frequent
49,62977,50,High,Occasional
32,83631,2412,Low,Occasional
35,106873,1461,Medium,Occasional
44,77414,831,High,Occasional
29,78976,1343,Medium,Rare
24,62613,50,Medium,Frequent
42,57169,1609,High,Frequent
39,50484,171,High,Occasional
45,43477,50,Medium,Rare
50,46259,50,Medium,Frequent
59,32988,2313,High,Frequent
22,58482,571,High,Frequent
50,26306,2734,Low,Occasional
36,63818,664,Medium,Frequent
28,59273,50,High,Rare
39,62938,83,High,Rare
38,49557,2436,Medium,Occasional
42,121537,1044,Medium,Frequent
24,87202,652,Medium,Rare
20,35109,1360,Medium,Rare
38,64657,1702,Medium,Frequent
32,47839,2317,High,Occasional
30,39710,2648,Medium,Frequent
20,33198,840,Medium,Frequent
24,68644,50,High,Frequent
34,46372,787,Medium,Occasional
33,79356,1460,Medium,Frequent
27,79875,236,Medium,Frequent
30,87478,243,High,Occasional
37,42952,1544,High,Frequent
50,69507,1151,Low,Frequent
40,72649,1233,High,Frequent
39,50516,442,Medium,Rare
35,44564,970,Medium,Occasional
33,92190,276,High,Occasional
38,64549,2090,Medium,Frequent
46,72719,2235,High,Occasional
37,43558,50,High,Frequent
33,35614,270,High,Occasional
48,48611,50,High,Frequent
45,57519,550,High,Frequent
48,38715,1117,Medium,Frequent
30,59803,50,High,Occasional
34,26229,278,High,Frequent
31,37599,196,High,Occasional
33,73418,1407,High,Occasional
51,72075,1269,Medium,Occasional
56,52162,478,High,Occasional
50,39644,1377,High,Occasional
32,39451,653,Medium,Occasional
37,52534,928,High,Occasional
50,72890,2873,High,Occasional
31,78564,2540,Medium,Occasional
41,50069,50,High,Frequent
30,36930,2030,High,Occasional
23,65356,2011,High,Occasional
51,43529,52,High,Occasional
23,49634,2019,Medium,Frequent
29,86505,2738,Medium,Occasional
44,76542,77,High,Occasional
24,63159,282,High,Frequent
42,34561,2218,High,Frequent
48,64227,1471,High,Frequent
37,81253,1751,High,Frequent
32,52487,1541,Medium,Occasional
41,87022,1591,Medium,Occasional
43,85854,50,High,Occasional
47,93274,2247,Medium,Frequent
28,66104,2370,Medium,Occasional
43,71747,971,Medium,Rare
18,88283,1157,High,Frequent
35,68947,50,Medium,Rare
20,49975,1714,High,Frequent
46,51029,1772,Medium,Frequent
46,64771,1138,High,Frequent
42,34188,2324,High,Frequent
43,57134,866,High,Occasional
33,81930,1765,High,Frequent
23,16174,180,High,Occasional
51,90689,1176,Medium,Occasional
31,82447,1026,Medium,Occasional
39,50804,1425,High,Occasional
33,70867,830,High,Occasional
41,60062,1069,Medium,Frequent
33,84599,2026,High,Occasional
39,79653,763,Medium,Frequent
45,31998,50,Medium,Occasional
44,71745,2950,High,Occasional
28,55887,2581,Medium,Frequent
45,61656,50,Low,Occasional
23,45436,1890,High,Rare
26,94962,697,Medium,Occasional
34,80801,1463,High,Occasional
47,45204,1494,Medium,Frequent
43,33307,966,High,Frequent
40,52286,416,High,Frequent
45,68690,509,High,Frequent
48,64804,284,High,Frequent
36,85062,368,High,Occasional
48,75798,1133,High,Occasional
21,79391,484,Medium,Occasional
28,66537,1882,Medium,Frequent
27,32214,2687,Medium,Occasional
58,56086,620,High,Frequent
35,81201,1439,Medium,Occasional
32,58969,1700,Medium,Frequent
25,70061,1672,Medium,Occasional
32,53625,1276,High,Occasional
34,39403,1943,High,Frequent
32,57533,1682,High,Occasional
39,66180,50,Medium,Occasional
24,46886,2069,Medium,Frequent
27,55285,2087,Low,Frequent
41,41210,437,High,Occasional
34,82384,1238,High,Frequent
26,54110,1883,Medium,Occasional
22,89055,991,Medium,Frequent
40,90574,2273,High,Frequent
31,58379,3564,Medium,Occasional
49,39831,414,Medium,Frequent
41,18282,50,High,Occasional
43,30559,1504,High,Occasional
47,32523,1922,Medium,Frequent
32,87569,969,High,Occasional
30,62316,2653,High,Occasional
58,67792,50,High,Frequent
33,15591,1893,High,Occasional
41,36040,594,High,Frequent
32,77741,2919,Medium,Rare
45,65735,3193,High,Frequent
33,57055,433,High,Frequent
28,71296,650,High,Occasional
50,92715,2060,High,Occasional
41,55579,813,Medium,Frequent
34,61387,1155,High,Occasional
47,63851,1225,Medium,Rare
26,107842,50,High,Occasional
28,18012,1186,Medium,Frequent
43,73664,510,High,Occasional
30,57703,707,High,Occasional
37,71335,2644,High,Occasional
30,46852,50,Low,Occasional
47,59020,2013,High,Occasional
47,74228,921,Medium,Occasional
30,122258,920,Medium,Frequent
29,76160,1990,High,Occasional
50,43038,1540,High,Occasional
